	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
6	395	65	444	0.9263551450182538	0.771373328506632	x1*(-0.113*x1 - 0.113*x2 + (1.215*x1 + 0.484)/(1.139*x1 + x2*(0.626*x2 - 4.461) + 7.914))	(0.905*x2 - 2.017)/(x1*(6.729*x2 - 2.456) + 1.465) - (-0.47*x2*(x1 - x2 + 4.325) + 2.075)/(x2 - 2.017)	395	dso	all	predprey	13	3
5	86	16	121	0.9883904350372623	0.8466907423508658	(-0.187*x1 - 0.123)*(x2 - 4.55) + 0.063	x1 - 0.308*x2	86	dso	all	predprey	13	3
4	65	14	97	1.1918812432538153	1.113522137829968	(0.886 - 0.188*x2)*(x1 + 0.651)	x1 - 0.308*x2	65	dso	all	predprey	13	3
3	44	12	75	1.5271414545347781	1.5598329380003375	x1*(1.065 - 0.227*x2)	x1 - 0.308*x2	44	dso	all	predprey	13	3
2	23	9	53	1.9755794509690756	2.0615834745627186	-0.113*x1*x2	x1 - 0.308*x2	23	dso	all	predprey	13	3
1	21	7	47	2.1028244923955777	2.2007281661868943	-0.113*x1*x2	-0.128*x2	21	dso	all	predprey	13	3
0	0	6	44	5.226438137912058	5.238759524679658	-0.168*x2	-0.128*x2	0	dso	all	predprey	13	3
