barmag_all_len100_snrinf_init0_obsxy,barmag_all_len100_snr30_init0_obsxy
19.139756202697754,256.27930545806885
0.44348784345858255,
0.27 - 0.3*arctan((0.03141467200582764*x_0 - 0.17413912411813485)*(0.002368283482682809*x_1 + 84.784766028063439)),0.15582885111984196 + 2.2191378408316636e-5/(-(0.2576161046071526 + 1/(1.9758333668170174*x_1 - 12.08104838108881))*(14.15255125339402*x_0 - 79.612291964430303)*(0.51557090721187148*x_1 - 3.5359263502810474) + 5.8184646016765707*sqrt(0.43001276287553362*x_0 - 1) - 5.105963206382442*tan(169.87999585886116*x_1 - 1117.4122508052733) + 0.37393498960899113)
(0.019320023283584*x_0 - 0.11300056133265293)*(0.01619905902155041*x_1 + (1.2970541553085039 - 0.3244548371275449*x_1)*(337.6232179925095 - 58.79031475376316*x_0) - 20.40420036804606),(-1.2139727379047932e-5*cos(238405.72944842964*(1 - 0.25676965080287378*x_0)**2 - 7.826419448368376) - 0.0030775615106059958)*(1.9758333668170174*x_1 + 0.1466301602453542*sin(160.5195462780617*x_0 - 917.20935072708446) - 81.540427032516562)
,
