glider_all_len100_snrinf_init0_obsxy,glider_all_len100_snr30_init0_obsxy,glider_all_len100_snr13_init0_obsxy,glider_all_len100_snrinf_init1_obsxy,glider_all_len100_snr30_init1_obsxy
256.24882793426514,784.7709770202637,31.903590202331543,18.001617908477783,25.43439292907715
0.13843373077839438,3.9414070061981206,7.773727887891458,1.7202037888983568,1.0426699881378025
-0.2875457997572775*x_0 - 0.9410000000000001*sin(1.0119794624614337*x_1 - 19.017573058132155) + 0.38979921868937879,(6.210288212639339 - 6.2103874854549855*(7.1359297163280727e-7*x_0 + 1)**2)*(-283.12653313535152*x_0 - 206.9820124473102*sin(8.3038835409897948*x_1 - 132.11182501959305) + 4745.5287619883395 - 1122.9780123850496/(311.28229435076526 - 9572.375070994025*cos(0.24244469477883319*x_1 - 1.3471064779292881))),(0.038598971431259045 + 0.0001305266455090344/(10.54183997717354*x_0 - 1.5823294138124644*x_1 + 695.31210564993682*(1 - 0.29424725147110672*x_0)**2 - 61.465035684272327))*(0.007456174917784846*x_1 + cos(17.14789659596949*x_0 - 45.175291655546167) - 9.974307955689033),0.015052520804291838*x_1 + 0.9900000000000001*sin(0.016489237576943834*x_0 + 0.96766205170447521*x_1 - 9.005277403090187) - 0.2435514839519162,(-7.115630750482067e-5*cos(1.7734983241208939*x_1 - 99.129525336210748) - 0.006862979954578908)*(1.6392531816612912*x_0 - 0.7281615261601095*cos(0.83048540251796259*x_1 - 4.0451482870547536) + 20.876383502805351)
-0.1318236405048447*x_1 + (0.000399465577287408*x_1 - 0.0062432525229469029)*(11.9839673186222*x_1 + 63.7*sin(5.703609586224511*x_0 - 15.05900031237318) - 217.31757568840708) + 4.8902733325724782,2.181058221740748e-6*x_0 - 1.0886523954937173e-6*cos(54.93178583544558*Abs(0.37769206984656384*x_1 - 9.2915678175643308) - 1.7754455047050384) + 2.6829551234225681 - 0.0006519465755333541/(-81.80171401572465*x_0 + 314.01758763683332*(0.16862821123856991*x_0 - 1)**2 + 102.20452881563855*sin(1.0191595696401166*x_1 - 17.022584630938321) - 21.02771319819842*cos(12.057930140158978*x_0 + 2.3202776395428895*x_1 - 64.227478433462308) + 243.8751565137129),(0.004968572156704184 - 0.3239252308919285/(0.12636585581481607*x_1 + 1.2636433215592692))*(-0.3088697427174279*(7.0296699546369358 - 3.33708128188362*x_0)/(0.7674556277850486*x_0 - 1.6166538182329781) + (327.99557915776003 - 12.649051611835682*x_1)*(-3.5196623029643284e-5*cos(23.786262820857097*x_0 - 81.974375831968674) - 0.002842997775748474))*(0.7674556277850486*x_0 - 22.144530503715481 + 0.11302297406603372/(172.1814989636196 - 65.48124477755439*x_0)),1.0*Abs(5319.4983000000001*(0.0039618138424821 - 1/(121.5467734752049 - 35.946537917737559*x_0))**2 + 0.07597000000000001 - 8.93/((0.09480000000000001*cos(0.0015977175653698335*x_1 - (0.023579609735029686*x_0 - 0.65743526883923993)*(0.21503601148988338*x_1 - 2.7574511993130891 - 0.676/(-0.1845027022735993*(0.10631972985523109*x_1 - 1)**2 - 0.0649)) + 9.354656892489105) + 0.771)*(13.916916514940595*x_0 + 0.21503601148988338*x_1 - 3.408634416319028))) + 0.607,(0.023010913255241062 - 1.9711110550616543e-6/(-0.8152132688353658*cos(11.531793330667065*x_1 - 194.30054919057884) - 0.8165347494462091))*(0.082991634329672724*x_1 + log(-0.78919400634640587*x_0 + 11.212112839812344*Abs(13.436159406224751*x_1 - 11095.074432039611*(0.85385553646277836*x_0 - 1)**2 + 8.390199574633739*arctan(-(279.9502613425945*(0.029461265359129891*x_1 + 1)**2 - 0.6090545936687431)*(2.565158028888656*tan(72.450105442860471*x_0 - 99.64940208253975) + 6.208994544497633)) - 155.70493114131554) + 4.7245081112023955) + 63.634436201466309)
,,,,
