lv_all_len100_snrinf_init3_obsxy,lv_all_len100_snr30_init3_obsxy,lv_all_len100_snr13_init3_obsxy
37.79634141921997,34.86922240257263,45.90227961540222
5769977.24091251,,
-1.161457538497326*(0.3346861933873601 - x_0)**2 - 0.186*cos(1.890199418148551*x_0 - 7.6040155398950339) + 0.00901,0.282398292887494*x_0 + (1.407420793905786 - 1.2507774744286668*x_1)*(1.842421120532118*x_0 + 0.2141418840211826) + 0.306*cos(241.35865567432604*x_1 - 427.7269888949404) + 0.313069102124384,-9.1515603551560596e-6*(-0.32173755400382515 - 1/(2.102000339201639*x_0 + 0.5734027145362271))**2*(x_0 - 0.33681317956345934)**2 + 2.124481008856554e-6*sin(-154.05144160605901*x_1 + 297.42082460441805 + 5.470252900551233/(1.619314185757526*x_0 - 0.4665523084743303)) - 0.36536539369047502
0.16 - 1.583056781093083*(x_0 - 0.15067397743941088*x_1 + 0.2422155745435909*Abs(0.26595777802004996*x_1 - 0.476081722555252) - 0.077306043302266257)**2,0.36739740235877503*x_1 - 0.298*log(-0.0378 + 77.3/((7.834275222040156*x_0 + 26.638452510547429)*(14.361356077443257*sqrt(x_1 + 0.82034352798278805) - 2.73))) - 0.372*cos(97.92844027550195*x_0 - 35.16934361815717) - 1.67*Abs(1.213857178298664*x_0 - 0.3459383755459947) - 1.2354659187772908,3.826294620406373e-6*x_0 - 1.893943236267497e-5*sin(170.1926479249663*x_0 - 115.3791855849989) + 1.9235209229445863e-8*tan(0.101100418217066*x_0 + 0.19371863470740091*x_1 + 5.001305557562549*Abs(1096223.4428823724*(x_0 - 0.2878242031866501)**3 - 42.66474187494534) + 24.912510494571596) - 0.22924148712385276
,,
