  index    complexity    length        TE    TE_inf  expr_x                                    expr_y                                                                                              expr_z                       index_column  method    data_version    system      snr    init
   6154            55       383   3.07926   3.27179  4.9*x2 - 4.9*x3*(0.03*x1 + 0.039) - 0.38  x1*(1.29*x1*(0.038 - 0.019*x1) - 0.29*x3 + 6.403 + 1.362/(1.403*x1 - 0.198*x2 + x3) + 3.187*x2/x1)  0.833*x1*x2 - x3 - 30.315            6154  dso       allonger        lorenz       13       1
   4753            50       316   3.16915   3.23857  -0.155*x1*x3 + 4.726*x2                   x1*(1.29*x1*(0.038 - 0.019*x1) - 0.29*x3 + 6.403 + 1.362/(1.403*x1 - 0.198*x2 + x3) + 3.187*x2/x1)  0.833*x1*x2 - x3 - 30.422            4753  dso       allonger        lorenz       13       1
   4429            35       202   3.26344   3.34717  -0.155*x1*x3 + 4.726*x2                   x2 + (0.408*x1 - 0.567)*(-0.046*x1**2 - x3 + 28.198)                                                0.833*x1*x2 - x3 - 30.315            4429  dso       allonger        lorenz       13       1
   4304            29       171   3.32131   3.40949  -0.155*x1*x3 + 4.726*x2                   0.483*x1*(23.398 - x3) + 0.483*x3                                                                   0.833*x1*x2 - x3 - 30.315            4304  dso       allonger        lorenz       13       1
   3579            23       148   4.13626   4.47055  -0.155*x1*x3 + 4.726*x2                   -0.48*x1*(x3 - 25.523)                                                                              0.833*x1*x2 - x3 - 30.315            3579  dso       allonger        lorenz       13       1
   1478            22       144   4.5479    4.93018  -5.709*x1 + 5.709*x2                      -0.48*x1*(x3 - 25.523)                                                                              0.833*x1*x2 - x3 - 30.422            1478  dso       allonger        lorenz       13       1
   4277            20       140   5.38827   5.87855  -0.155*x1*x3 + 4.726*x2                   -0.48*x1*(x3 - 25.523)                                                                              0.81*x1*x2 - 54.054                  4277  dso       allonger        lorenz       13       1
    776            18       118   5.63815   6.13384  -5.708*x1 + 5.708*x2                      -0.48*x1*(x3 - 25.523)                                                                              x1*x2 - 68.354                        776  dso       allonger        lorenz       13       1
     77            17       101   9.00325  10.1047   -x1 + x2                                  -0.48*x1*(x3 - 25.523)                                                                              0.81*x1*x2 - 54.054                    77  dso       allonger        lorenz       13       1
   2100            15        60   9.40195  11.4373   -5.461*x1 + 5.772*x2                      -x1 + x2                                                                                            x1 - 1.0                             2100  dso       allonger        lorenz       13       1
      0            13        24  40.066    49.7507   -x1 + x2                                  -x1 + x2                                                                                            x1 - 1.0                                0  dso       allonger        lorenz       13       1
