  index    complexity    length           TE       TE_inf  expr_x                           expr_y                                      expr_z                                         index_column  method    data_version    system      snr    init
   2177            59       425    0.0655301    0.0655301  -9.967*x1 + 9.965*x2 + 0.001*x3  -0.997*x1*(x3 - 27.934) - 0.96*x2 + 0.223   x1*(1.015*x2 + 0.08) - 2.733136459651975*x3            2177  dso       allonger        lorenz      inf       0
    577            56       398    0.0722411    0.0722411  -9.966*x1 + 9.966*x2             -0.997*x1*(x3 - 27.934) - 0.96*x2 + 0.223   x1*(1.015*x2 + 0.08) - 2.733136459651975*x3             577  dso       allonger        lorenz      inf       0
   1362            31       220    0.0796702    0.0796702  -9.965*x1 + 9.966*x2 - 0.007     -0.997*x1*(x3 - 27.934) - 0.96*x2 + 0.223   x1*x2 - 2.667*x3                                       1362  dso       allonger        lorenz      inf       0
    962            30       195    0.0846866    0.0846866  -9.966*x1 + 9.966*x2             -0.997*x1*(x3 - 27.934) - 0.96*x2 + 0.223   x1*x2 - 2.667*x3                                        962  dso       allonger        lorenz      inf       0
   2123            29       213    0.543608     0.543608   -9.967*x1 + 9.965*x2 + 0.001*x3  -0.992*x1*(x3 - 27.929) - 0.942*x2 + 0.166  x1*x2 - 2.667*x3 + 0.013                               2123  dso       allonger        lorenz      inf       0
   2122            28       192    0.555161     0.555161   -9.967*x1 + 9.965*x2 + 0.001*x3  -0.992*x1*(x3 - 27.929) - 0.942*x2 + 0.166  x1*x2 - 2.667*x3                                       2122  dso       allonger        lorenz      inf       0
    523            26       186    0.557217     0.557217   -9.966*x1 + 9.966*x2             -0.992*x1*(x3 - 27.929) - 0.942*x2 + 0.166  x1*x2 - 2.667*x3 + 0.013                                523  dso       allonger        lorenz      inf       0
    522            25       165    0.568993     0.568993   -9.966*x1 + 9.966*x2             -0.992*x1*(x3 - 27.929) - 0.942*x2 + 0.166  x1*x2 - 2.667*x3                                        522  dso       allonger        lorenz      inf       0
    482            24       142    0.677441     0.677441   -9.966*x1 + 9.966*x2             -0.993*x1*(x3 - 27.955) - 0.95*x2           x1*x2 - 2.667*x3                                        482  dso       allonger        lorenz      inf       0
     20            15        57    4.21265      4.21265    -x1 + x2                         -3.412*x1 + x3                              9.392 - x1                                               20  dso       allonger        lorenz      inf       0
      0            13        53  487.011      487.011      -x1 + x2                         x3 - 26.473                                 9.392 - x1                                                0  dso       allonger        lorenz      inf       0
