	index	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	data_version	system	snr	init
14	2477	48	296	2.8535637952613007	2.8493876236882603	-9.876*x1 + 9.892*x2 - 0.027	x1**2*(-0.046*x1 + 0.025*x2) + x1*(-56.605 - (-0.822*x2 - 2*x3 - 4764.269)/(x3 + 55.986))	0.99*x1*x2 - 2.57*x3 - 1.724	2477	dso	allonger	lorenz	30	1
7	893	47	274	2.854020128072963	2.8498149900252794	-9.892*x1 + 9.892*x2	x1**2*(-0.046*x1 + 0.025*x2) + x1*(-56.605 - (-0.822*x2 - 2*x3 - 4764.269)/(x3 + 55.986))	0.99*x1*x2 - 2.57*x3 - 1.724	893	dso	allonger	lorenz	30	1
6	845	45	255	2.8643636532365377	2.8603409402075974	-9.892*x1 + 9.892*x2	x1**2*(-0.045*x1 + 0.025*x2) + x1*(-55.916 - (-x1 + x3 - 4922.453)/(x3 + 58.404))	0.99*x1*x2 - 2.57*x3 - 1.724	845	dso	allonger	lorenz	30	1
5	844	44	232	2.8748846239131907	2.8709477536175125	-9.892*x1 + 9.892*x2	x1**2*(-0.045*x1 + 0.025*x2) + x1*(-55.916 - (-x1 + x3 - 4922.453)/(x3 + 58.404))	0.99*x1*x2 - 2.633*x3	844	dso	allonger	lorenz	30	1
4	842	43	214	2.882893412340171	2.879144969424838	-9.892*x1 + 9.892*x2	x1**2*(-0.045*x1 + 0.025*x2) + x1*(-55.916 - (-x1 + x3 - 4922.453)/(x3 + 58.404))	x1*x2 - 2.66*x3	842	dso	allonger	lorenz	30	1
3	796	38	219	2.9041592338411673	2.9007290652974644	-9.892*x1 + 9.892*x2	x1**2*(-0.046*x1 + 0.025*x2) + x1*(-56.745 + 5016.548/(x3 + 59.054))	0.99*x1*x2 - 2.633*x3	796	dso	allonger	lorenz	30	1
2	794	37	201	2.9132522659712086	2.9100123089178753	-9.892*x1 + 9.892*x2	x1**2*(-0.046*x1 + 0.025*x2) + x1*(-56.745 + 5016.548/(x3 + 59.054))	x1*x2 - 2.66*x3	794	dso	allonger	lorenz	30	1
13	2189	25	205	3.0144238277017683	3.0187024337117445	-9.876*x1 + 9.892*x2 - 0.027	-0.931*x1*(x3 - 26.785) + 1.136	0.99*x1*x2 - 2.57*x3 - 1.724	2189	dso	allonger	lorenz	30	1
11	1636	22	139	3.081746999120633	3.0838853634709436	-9.878*x1 + 9.892*x2	x1*(25.131 - 0.934*x3)	0.99*x1*x2 - 2.633*x3	1636	dso	allonger	lorenz	30	1
10	1634	21	121	3.7526145412366025	3.752541556608925	-9.878*x1 + 9.892*x2	x1*(25.131 - 0.934*x3)	x1*x2 - 2.66*x3	1634	dso	allonger	lorenz	30	1
9	1609	19	97	5.297019846868963	5.3149930963236836	-9.878*x1 + 9.892*x2	x1*(27.012 - x3)	x1*x2 - 67.276	1609	dso	allonger	lorenz	30	1
1	25	17	60	12.664698795914045	12.721423448312837	-x1 + x2	x1*(27.012 - x3)	x1*x2 - 67.276	25	dso	allonger	lorenz	30	1
12	2112	16	97	21.369104220066088	21.564669888001706	-9.876*x1 + 9.892*x2 - 0.027	-x1 + x2	x2 - 3.91	2112	dso	allonger	lorenz	30	1
8	1584	15	76	21.42770434765465	21.623829159109324	-9.878*x1 + 9.892*x2	-x1 + x2	x2 - 3.91	1584	dso	allonger	lorenz	30	1
0	0	13	39	50.002440195238876	50.458183382573026	-x1 + x2	-x1 + x2	x2 - 3.91	0	dso	allonger	lorenz	30	1
