  index    complexity    length        TE    TE_inf  expr_x                                                                                                                 expr_y                                                                       expr_z                              index_column  method    data_version    system      snr    init
  12204            74       473   1.09279   1.01461  x2*(x2*(0.316 - 0.005*x3) + 8.491) - (0.019*x1**2 + 0.504*x1 - 0.161)*(0.004*x1**2*(-x1 + x3 - 36.701) + x2 + 13.049)  -x1*(1.225*x1 - (-1.431*x1 + 1.225*x3)*(0.008*x1 - 0.607) - 21.782) - 1.015  -0.979*x2*(0.309 - x1) - 2.51*x3           12204  dso       allonger        lorenz       30       0
  12203            70       452   1.09437   1.01636  x2*(x2*(0.316 - 0.005*x3) + 8.491) - (0.019*x1**2 + 0.504*x1 - 0.161)*(0.004*x1**2*(-x1 + x3 - 36.701) + x2 + 13.049)  -x1*(1.225*x1 - (-1.431*x1 + 1.225*x3)*(0.008*x1 - 0.607) - 21.782) - 1.015  x1*x2 - 2.557*x3 - 2.699                   12203  dso       allonger        lorenz       30       0
  12184            66       411   1.09477   1.01684  x2*(x2*(0.316 - 0.005*x3) + 8.491) - (0.019*x1**2 + 0.504*x1 - 0.161)*(0.004*x1**2*(-x1 + x3 - 36.701) + x2 + 13.049)  x1*(-0.011*x1*(x1 - x3 + 35.447) - 0.744*x3 + 21.617)                        -0.979*x2*(0.309 - x1) - 2.51*x3           12184  dso       allonger        lorenz       30       0
  12223            65       417   1.09702   1.01938  x2*(x2*(0.316 - 0.005*x3) + 8.491) - (0.019*x1**2 + 0.504*x1 - 0.161)*(0.004*x1**2*(-x1 + x3 - 36.701) + x2 + 13.049)  x1*(-0.011*x1*(x1 - x3 + 36.646) + 0.011*x2 - 0.746*x3 + 21.699)             x1*x2 - 2.557*x3 - 2.699                   12223  dso       allonger        lorenz       30       0
  12183            62       390   1.09713   1.01953  x2*(x2*(0.316 - 0.005*x3) + 8.491) - (0.019*x1**2 + 0.504*x1 - 0.161)*(0.004*x1**2*(-x1 + x3 - 36.701) + x2 + 13.049)  x1*(-0.011*x1*(x1 - x3 + 35.447) - 0.744*x3 + 21.617)                        x1*x2 - 2.557*x3 - 2.699                   12183  dso       allonger        lorenz       30       0
  12182            61       369   1.09803   1.02074  x2*(x2*(0.316 - 0.005*x3) + 8.491) - (0.019*x1**2 + 0.504*x1 - 0.161)*(0.004*x1**2*(-x1 + x3 - 36.701) + x2 + 13.049)  x1*(-0.011*x1*(x1 - x3 + 35.447) - 0.744*x3 + 21.617)                        x1*x2 - 2.655*x3                           12182  dso       allonger        lorenz       30       0
   9684            54       346   1.10717   1.03017  -10.317*x1 + 10.317*x1/(x2 + 0.076*x3**2/(x1 - 2.225) - 12.022) + 9.725*x2 - 11.104                                    x1*(-0.011*x1*(x1 - x3 + 35.447) - 0.744*x3 + 21.617)                        -0.979*x2*(0.309 - x1) - 2.51*x3            9684  dso       allonger        lorenz       30       0
   9683            50       325   1.11202   1.03464  -10.317*x1 + 10.317*x1/(x2 + 0.076*x3**2/(x1 - 2.225) - 12.022) + 9.725*x2 - 11.104                                    x1*(-0.011*x1*(x1 - x3 + 35.447) - 0.744*x3 + 21.617)                        x1*x2 - 2.557*x3 - 2.699                    9683  dso       allonger        lorenz       30       0
   9682            49       304   1.1158    1.03942  -10.317*x1 + 10.317*x1/(x2 + 0.076*x3**2/(x1 - 2.225) - 12.022) + 9.725*x2 - 11.104                                    x1*(-0.011*x1*(x1 - x3 + 35.447) - 0.744*x3 + 21.617)                        x1*x2 - 2.655*x3                            9682  dso       allonger        lorenz       30       0
   3203            47       298   1.13705   1.06464  (x1 - x2)*(x1*(0.006*x1 + 0.104) - 9.582)                                                                              -x1*(1.225*x1 - (-1.431*x1 + 1.225*x3)*(0.008*x1 - 0.607) - 21.782) - 1.015  x1*x2 - 2.557*x3 - 2.699                    3203  dso       allonger        lorenz       30       0
   3202            46       277   1.13707   1.06517  (x1 - x2)*(x1*(0.006*x1 + 0.104) - 9.582)                                                                              -x1*(1.225*x1 - (-1.431*x1 + 1.225*x3)*(0.008*x1 - 0.607) - 21.782) - 1.015  x1*x2 - 2.655*x3                            3202  dso       allonger        lorenz       30       0
   3164            44       261   1.15134   1.08067  (x1 - x2)*(x1*(0.006*x1 + 0.104) - 9.582)                                                                              -1.117*x1*(x3 + (0.009*x1 + 0.334)*(x1 - x3) - 19.351)                       -0.979*x2*(0.309 - x1) - 2.51*x3            3164  dso       allonger        lorenz       30       0
   3184            43       257   1.15135   1.08067  (x1 - x2)*(x1*(0.006*x1 + 0.104) - 9.582)                                                                              x1*(-0.011*x1*(x1 - x3 + 35.447) - 0.744*x3 + 21.617)                        -0.979*x2*(0.309 - x1) - 2.51*x3            3184  dso       allonger        lorenz       30       0
   3222            41       242   1.15272   1.08228  (x1 - x2)*(x1*(0.006*x1 + 0.104) - 9.582)                                                                              x1*(-0.011*x1*(x1 - x3 + 36.646) + 0.011*x2 - 0.746*x3 + 21.699)             x1*x2 - 2.655*x3                            3222  dso       allonger        lorenz       30       0
   3162            39       219   1.15548   1.08529  (x1 - x2)*(x1*(0.006*x1 + 0.104) - 9.582)                                                                              -1.117*x1*(x3 + (0.009*x1 + 0.334)*(x1 - x3) - 19.351)                       x1*x2 - 2.655*x3                            3162  dso       allonger        lorenz       30       0
   3182            38       215   1.15548   1.0853   (x1 - x2)*(x1*(0.006*x1 + 0.104) - 9.582)                                                                              x1*(-0.011*x1*(x1 - x3 + 35.447) - 0.744*x3 + 21.617)                        x1*x2 - 2.655*x3                            3182  dso       allonger        lorenz       30       0
   2722            37       234   1.17728   1.10912  (9.113 - 0.053*x1)*(-0.998*x1 + x2)                                                                                    x1*(-0.011*x1*(x1 - x3 + 36.646) + 0.011*x2 - 0.746*x3 + 21.699)             x1*x2 - 2.655*x3                            2722  dso       allonger        lorenz       30       0
   2662            35       211   1.17979   1.11189  (9.113 - 0.053*x1)*(-0.998*x1 + x2)                                                                                    -1.117*x1*(x3 + (0.009*x1 + 0.334)*(x1 - x3) - 19.351)                       x1*x2 - 2.655*x3                            2662  dso       allonger        lorenz       30       0
   2682            34       207   1.1798    1.1119   (9.113 - 0.053*x1)*(-0.998*x1 + x2)                                                                                    x1*(-0.011*x1*(x1 - x3 + 35.447) - 0.744*x3 + 21.617)                        x1*x2 - 2.655*x3                            2682  dso       allonger        lorenz       30       0
   1722            33       206   1.1871    1.1193   -9.413*x1 + 9.428*x2                                                                                                   x1*(-0.011*x1*(x1 - x3 + 36.646) + 0.011*x2 - 0.746*x3 + 21.699)             x1*x2 - 2.655*x3                            1722  dso       allonger        lorenz       30       0
   1662            31       183   1.19135   1.12398  -9.413*x1 + 9.428*x2                                                                                                   -1.117*x1*(x3 + (0.009*x1 + 0.334)*(x1 - x3) - 19.351)                       x1*x2 - 2.655*x3                            1662  dso       allonger        lorenz       30       0
   1682            30       179   1.19135   1.12398  -9.413*x1 + 9.428*x2                                                                                                   x1*(-0.011*x1*(x1 - x3 + 35.447) - 0.744*x3 + 21.617)                        x1*x2 - 2.655*x3                            1682  dso       allonger        lorenz       30       0
    642            28       192   1.47142   1.42304  -9.428*x1 + 9.428*x2                                                                                                   (0.006*x1 - 0.004)*(x2 - 130.942)*(x3 - 26.077) + 5.449                      x1*x2 - 2.655*x3                             642  dso       allonger        lorenz       30       0
    622            25       168   2.55295   2.55281  -9.428*x1 + 9.428*x2                                                                                                   0.008*x1*(x2 - 103.494)*(x3 - 26.328) + 4.331                                x1*x2 - 2.655*x3                             622  dso       allonger        lorenz       30       0
