  index    complexity    length        TE    TE_inf  expr_x                        expr_y                                                                                     expr_z                          index_column  method    data_version    system      snr    init
   2477            48       296   2.85356   2.84939  -9.876*x1 + 9.892*x2 - 0.027  x1**2*(-0.046*x1 + 0.025*x2) + x1*(-56.605 - (-0.822*x2 - 2*x3 - 4764.269)/(x3 + 55.986))  0.99*x1*x2 - 2.57*x3 - 1.724            2477  dso       allonger        lorenz       30       1
    893            47       274   2.85402   2.84981  -9.892*x1 + 9.892*x2          x1**2*(-0.046*x1 + 0.025*x2) + x1*(-56.605 - (-0.822*x2 - 2*x3 - 4764.269)/(x3 + 55.986))  0.99*x1*x2 - 2.57*x3 - 1.724             893  dso       allonger        lorenz       30       1
    845            45       255   2.86436   2.86034  -9.892*x1 + 9.892*x2          x1**2*(-0.045*x1 + 0.025*x2) + x1*(-55.916 - (-x1 + x3 - 4922.453)/(x3 + 58.404))          0.99*x1*x2 - 2.57*x3 - 1.724             845  dso       allonger        lorenz       30       1
    844            44       232   2.87488   2.87095  -9.892*x1 + 9.892*x2          x1**2*(-0.045*x1 + 0.025*x2) + x1*(-55.916 - (-x1 + x3 - 4922.453)/(x3 + 58.404))          0.99*x1*x2 - 2.633*x3                    844  dso       allonger        lorenz       30       1
    842            43       214   2.88289   2.87914  -9.892*x1 + 9.892*x2          x1**2*(-0.045*x1 + 0.025*x2) + x1*(-55.916 - (-x1 + x3 - 4922.453)/(x3 + 58.404))          x1*x2 - 2.66*x3                          842  dso       allonger        lorenz       30       1
    796            38       219   2.90416   2.90073  -9.892*x1 + 9.892*x2          x1**2*(-0.046*x1 + 0.025*x2) + x1*(-56.745 + 5016.548/(x3 + 59.054))                       0.99*x1*x2 - 2.633*x3                    796  dso       allonger        lorenz       30       1
    794            37       201   2.91325   2.91001  -9.892*x1 + 9.892*x2          x1**2*(-0.046*x1 + 0.025*x2) + x1*(-56.745 + 5016.548/(x3 + 59.054))                       x1*x2 - 2.66*x3                          794  dso       allonger        lorenz       30       1
   2189            25       205   3.01442   3.0187   -9.876*x1 + 9.892*x2 - 0.027  -0.931*x1*(x3 - 26.785) + 1.136                                                            0.99*x1*x2 - 2.57*x3 - 1.724            2189  dso       allonger        lorenz       30       1
   1636            22       139   3.08175   3.08389  -9.878*x1 + 9.892*x2          x1*(25.131 - 0.934*x3)                                                                     0.99*x1*x2 - 2.633*x3                   1636  dso       allonger        lorenz       30       1
   1634            21       121   3.75261   3.75254  -9.878*x1 + 9.892*x2          x1*(25.131 - 0.934*x3)                                                                     x1*x2 - 2.66*x3                         1634  dso       allonger        lorenz       30       1
   1609            19        97   5.29702   5.31499  -9.878*x1 + 9.892*x2          x1*(27.012 - x3)                                                                           x1*x2 - 67.276                          1609  dso       allonger        lorenz       30       1
     25            17        60  12.6647   12.7214   -x1 + x2                      x1*(27.012 - x3)                                                                           x1*x2 - 67.276                            25  dso       allonger        lorenz       30       1
   2112            16        97  21.3691   21.5647   -9.876*x1 + 9.892*x2 - 0.027  -x1 + x2                                                                                   x2 - 3.91                               2112  dso       allonger        lorenz       30       1
   1584            15        76  21.4277   21.6238   -9.878*x1 + 9.892*x2          -x1 + x2                                                                                   x2 - 3.91                               1584  dso       allonger        lorenz       30       1
      0            13        39  50.0024   50.4582   -x1 + x2                      -x1 + x2                                                                                   x2 - 3.91                                  0  dso       allonger        lorenz       30       1
