t,x,y
0.0,4.26461875246862,4.76102165511013
0.1,4.329961361552397,4.8582448881332265
0.2,4.39484888066658,4.9604186949319065
0.30000000000000004,4.459237186196636,5.06633388754574
0.4,4.523076203879998,5.174670639528459
0.5,4.586308961002725,5.284053588755201
0.6000000000000001,4.648870494490613,5.393108282074679
0.7000000000000001,4.710686609793209,5.5005149876620765
0.8,4.771672499695747,5.605056445134428
0.9,4.831731258198712,5.705656960271295
1.0,4.890752368833468,5.801411236316458
1.1,4.9486103174423794,5.891602322384702
1.2000000000000002,5.005163585108554,5.9757089331549045
1.3,5.060254421532723,6.053403071867001
1.4000000000000001,5.113709971849956,6.124539338506286
1.5,5.165345486516417,6.189137536919363
1.6,5.214970385740934,6.247360254729615
1.7000000000000002,5.262397717652582,6.2994870504502805
1.8,5.307456875955501,6.345886820116643
1.9000000000000001,5.350008303324423,6.386989886671254
2.0,5.38995761948432,6.42326135715994
2.1,5.427265878344174,6.455177247424531
2.2,5.461953181472764,6.483204660184328
2.3000000000000003,5.494094711718196,6.507786846518701
2.4000000000000004,5.5238105383933735,6.529333341359972
2.5,5.551252090116968,6.548214721523447
2.6,5.576588384696887,6.564761081837006
2.7,5.599994235011225,6.579263150532564
2.8000000000000003,5.621641441178961,6.59197503281185
2.9000000000000004,5.641693006351318,6.603117777015761
3.0,5.660299876253612,6.612883198964291
3.1,5.677599533993643,6.621437612970246
3.2,5.69371582849413,6.628925278011781
3.3000000000000003,5.70875954765173,6.635471474843629
3.4000000000000004,5.722829389761315,6.64118519520245
3.5,5.73601310591163,6.64616146033807
3.6,5.74838867410479,6.650483303413695
3.7,5.7600254259675,6.65422345650886
3.8000000000000003,5.770985085709087,6.657445783004351
3.9000000000000004,5.781322704778627,6.660206493118155
4.0,5.791087489554452,6.66255517609026
4.1000000000000005,5.800323526959245,6.66453567795806
4.2,5.809070416591767,6.666186849530776
4.3,5.817363819378488,6.667543185279314
4.4,5.825235932865489,6.668635370478842
4.5,5.832715902711896,6.669490751067218
4.6000000000000005,5.839830179061307,6.670133738269355
4.7,5.846602825482668,6.670586158026918
4.800000000000001,5.853055787188903,6.670867553604775
4.9,5.859209124322241,6.670995448367858
5.0,5.8650812152750085,6.670985574580976
5.1000000000000005,5.870688934289234,6.670852073141646
5.2,5.8760478069507585,6.670607668376056
5.300000000000001,5.8811721466558105,6.670263821381254
5.4,5.88607517466958,6.669830864859478
5.5,5.890769126006714,6.6693181219423785
5.6000000000000005,5.895265343036737,6.66873401113379
5.7,5.8995743584320985,6.668086139175346
5.800000000000001,5.9037059688504225,6.667381383393751
5.9,5.907669300536056,6.66662596485421
6.0,5.911472867860193,6.665825513463636
6.1000000000000005,5.915124625676212,6.66498512600958
6.2,5.9186320162447705,6.664109417985537
6.300000000000001,5.922002011381009,6.66320256994088
6.4,5.925241150388355,6.6622683689959965
6.5,5.9283555742680685,6.6613102460797755
6.6000000000000005,5.931351056630304,6.66033130937601
6.7,5.93423303167708,6.659334374403415
6.800000000000001,5.937006619582829,6.658321991103752
6.9,5.939676649551815,6.657296468260653
7.0,5.942247680805398,6.656259895541536
7.1000000000000005,5.944724021713713,6.655214163411743
7.2,5.947109747267041,6.654160981148101
7.300000000000001,5.94940871505412,6.653101893146933
7.4,5.95162457989787,6.652038293702189
7.5,5.9537608072824275,6.650971440410449
7.6000000000000005,5.955820685687874,6.649902466339206
7.7,5.957807337937497,6.648832391081518
7.800000000000001,5.959723731652125,6.647762130807773
7.9,5.96157268889331,6.646692507410888
8.0,5.9633568950699996,6.645624256832617
8.1,5.965078907176011,6.644558036649895
8.200000000000001,5.966741161416895,6.643494432990171
8.3,5.968345980280367,6.642433966839261
8.4,5.969895579099814,6.641377099799613
8.5,5.971392072148704,6.640324239343742
8.6,5.972837478314579,6.639275743618918
8.700000000000001,5.974233726377813,6.6382319258331135
8.8,5.975582659935551,6.637193058268933
8.9,5.976886041992784,6.636159375951171
9.0,5.978145559252911,6.635131080005112
9.1,5.979362826126955,6.63410834072789
9.200000000000001,5.980539388486138,6.633091300401192
9.3,5.981676727175744,6.632080075865763
9.4,5.982776261309459,6.631074760879599
9.5,5.983839351359896,6.6300754282776175
9.600000000000001,5.984867302060629,6.629082131949951
9.700000000000001,5.985861365133552,6.62809490865447
9.8,5.9868227418536835,6.627113779677023
9.9,5.987752585463642,6.62613875235288
