vdp_all_len100_snrinf_init0_obsxy,vdp_all_len100_snr30_init0_obsxy,vdp_all_len100_snr13_init0_obsxy,vdp_all_len100_snrinf_init1_obsxy,vdp_all_len100_snr30_init1_obsxy,vdp_all_len100_snr13_init1_obsxy,vdp_all_len100_snrinf_init2_obsxy,vdp_all_len100_snr30_init2_obsxy,vdp_all_len100_snr13_init2_obsxy,vdp_all_len100_snrinf_init3_obsxy,vdp_all_len100_snr30_init3_obsxy,vdp_all_len100_snr13_init3_obsxy
31.41710138320923,30.76087784767151,32.94364380836487,16.15272879600525,21.06600832939148,33.7617084980011,25.422022819519043,25.010228157043457,22.225648641586304,23.408631324768066,34.82175040245056,19.412865161895752
inf,1.554860065956813,2.9561378000323844,3.002060793418151,,,,,3.0618926023635575,4.057217829813001,2.5850645233120315,2.800556736266526
(-0.0040999999999999995 - 0.7180000000000001/(-0.00058354533760952843*x_0 + 0.007645674298410319*exp(0.040511512860969189*x_0 + (1.0717034565713457*x_0 - 0.07196742643226976)*(28.616165594313416*x_0 + 0.02580693819593838)) - 54.0*sin(19.715649935934*x_1 + 7.8129535830578836) + 0.8966494423683192))*(2.3615168145034844 - 189.062636412596*x_1),-0.3371717023222239*x_0 + (0.76172070633784829*x_1 - 0.00058209468526300238)*(9.9*sin((88.00181430610044*x_0 - 6.156063003883049)*(0.22851621190135449*x_1 + 0.0068253715944210994)) + 6.0) + 0.02535273181564387,(327.6346660471324*x_1 + 3045.1303314753344)*(2.0105516623893141e-7*sin(64.28810196727492*x_1 + (1.104122054108683*x_0 - 0.12016544560425567)*(16.380688538524191*x_0 + 13.805899216496247) + 46.456737701218874) + 3.831702999452821e-5),-0.14127063146554736 - 0.001432008611901952/((5.4969688176788786 - 7.0483315690106011*x_1)*(5.1014057298943823*x_0 + 2.360879526197047)*(6.59604167190893*arctan(62.996647415428483*x_0 - 48.487972773334402) - 0.7522761762996951)),(26.58182570134369 - 8.186279057631195*x_0)*(4.430724615488518e-6*tan(-206.0316656695243*x_1 + 0.009610430799729765*Abs(5.7006977105142385*log(0.94886865401673986 - 0.45412244358581623*x_0) - 0.0483892991990796) + 21.59095784601796) - 0.00618421793203068),(0.3682620751816207 + 1/(3075.1094322253919*(0.29584396285267744 - x_1)**2 - 0.5383227782851071))*(1.8606871748643651 - 1.4150106195618184*x_0)*(4.789752015733945 - 0.02863833237018716*Abs(137.93592107636218*sqrt(1 - 0.22635764816979238*x_0) + 1.3667332016303346))*(43.737385986392239*x_1 - 13.488488810147941)*(0.0003232376115894277*tan(8115.1200206154513*(-x_1 - 0.023772113634119866)**3 - 0.3613030393184813) + 0.024069043087835525),(422546768.21662183*(3.05902860751973e-5 - (-(0.00328571428571429 - Abs(0.35928143782803291*x_1 - 0.010873022117619505))**2 - 2.05327284847805e-6)**2)**2*(0.091727072839742816 - x_1)**2 + 0.0318)*(0.9460000000000001*cos(0.8200000000000001 + 4.7/(-0.0007999999999999999 + 0.88836270612775582*exp(-0.077633747944383472*x_0))) - 0.00398)*(-0.083329702277259424*x_0 - 0.017151952908969383*x_1 + 6.9850246198197148),-0.2303006443143416*x_0 + (0.0052499999999999995 - 8.378873338407855*(x_1 - 0.03022810565625106)**3)*(0.53659355*(-cos(3.96*Abs(62.4709135501312*x_1 - 1.423669159938442) - 0.068) - 0.0755778894472362)**2 - 0.00997)*(-6.09*Abs(-14.2958516901554*x_1 + 0.10747057582598877*sqrt(0.62494203316388066 - x_1) + 6.373598271710051) - 0.8260000000000001) + 0.048082458989954243,(85.63643149714025 - 18.02404400577971*sin(0.16143417851137647*x_0 - 317.9138289568073*x_1 + 66.254124487275597))*(-1.0946842313611416e-8*tan(43.412729956317568*x_1 - 0.3426485728339278) - 0.0008917427115062628),-0.0609 - 19.0/(309.62761841105031*(0.16429095283954159*x_0 + 0.04537150253222631*x_1 - 0.31545846873457237*(-0.1896030108794837*x_0 - 0.64446440239640095)*(0.0097227174895062844*x_1 + 0.079837547886935259) + 0.24511123020676274*tan(2.479580614187697*x_1 - 0.6535011010242035) + 1)**3 + 9.01),(0.026771063974423836*(0.013809103570862624*x_1 - 1)**3 + 0.026579179764859254)*(-89.617775178909411*x_0 - 166.51284552059791*x_1 - 119.14720396856497*cos(1.731185146348739 - 32869.76609902097*exp(-19.388361944587878*x_1)) + 150.90288092759979),-2.2361609551271352e-6*x_0 + 3.4019891765651706e-6*x_1 - 0.029551321323919574 + 2.2565241372142757e-6/(79.1554916990784*sin(-156.8485970167774*x_0 + (9.11834497806949 - 1.3855586085628816*x_1)*(-0.11274528224205694*x_0 - 0.1737558754222641) + 173.78457871930368) + 2.473714871430214)
-0.10032490996594587*x_0 - 0.0002489466774398773 + 0.00365/(-4.6028260706523887*x_0 - 7.825515978932654*x_1 + 85.0*cos(0.0512 + 0.09870000000000001/(-0.750151750927397*x_1 - 0.025095271994066826)) - 75.700162306985818),(0.002753568902298162*x_0 - 0.0420988806431611)*(-0.02323248154330437*x_1 - (-0.8530000000000001 - 0.09720000000000001/(14.1612114975334*x_0 + 65.050948321252248*x_1 + 6.163474377621497))*(2.933393810203348*x_0 - 0.12949252007743421*x_1 + 2.28068118*(-cos(34.2791230694261*x_0 + 87.12413893207622) - 0.009474812433011788)**2 - 0.64926981069960693) - 0.085377246112099489),0.0070371925349281773*(-0.02646783950968117*x_0 - x_1 - 0.047367323232008176*sin(290.9926166326672*x_1 + 34.15932862960225*(-x_1 - 0.00083148500563267495)**2 - 13.71878631016654) + 0.3660508075930423*tan(0.1458258483092992*x_1 + 30.547335146228538 + 0.002176742173220205/(0.38915333574658432*exp(4.6289002233701141*x_0) - 0.0808558976912394)) + 0.60344035521483264)**3 - 0.019195890426175585,-0.0976941086628321*x_0 - 0.001702023206265131 + 0.08280000000000001/(29.865691814939406*x_1 + (0.012141511233413831 - 0.13417129553250892*x_1)*(0.071627905167094603*x_1 - 0.01056044219492144) - 0.1*Abs(306.07826793353598*x_1 - 45.1958725012253) - 23.67324076611271),-0.00010205626375689998*(0.10047107532769 - sin((55.90781491822413*x_0 - 43.280417871855465)*(5.9548170900911643*x_1 - 4.6156266178621692)))**3 + 1.2016530212841519*Abs((4.0689679020467645e-7*x_0 + 2.7251891154104828e-7)*(1.1895622393345284*x_0 - 29.70698121074136*x_1 + 8.653997615234164)) - 0.08000364585870175,(1.6019861876380927e-5*x_1 + 6.315229813340826e-5)*(0.2699862139704935*sin((-0.7814005572778045*x_0 - 94.32736953627454)*(9.522596704803674*x_0 - 58.95399916975224)) - 8.978961054425408)*(0.21976803679039275*sin(108824.7152121252*(x_0 - 0.95287624184404758)**2 + 8.818176164810133) + 12.285493106836634)*(cos((20.225528305674718 - 29.002409326512299*sqrt(0.044097216905164131*x_1 + 1))*(-0.2237968421569102*log(56.31586953656002 - 0.026304476985582682*exp(1.6618610195132989*x_0)) - 6.937019372505701 - 0.33984653960162486/(13.84833305643135 - 8.020458250761625*x_0))) + 6.403412000777772),-0.099995642732711318*x_0 - 0.0091460571940754576 + 0.8410000000000001/(84.9 - 0.025/(0.0054399999999999995 - 0.0026899999999999997/(3.5694144964247285*(x_1 - 0.044577827537828744)**2 - 0.00828))),-0.09486696265792603*x_0 + 0.0068262606298068407 - 0.8400000000000001/(3.1013512045629411*x_1 - 91.0*sin(0.031700000000000006 + 4.8767805915261698e+42*exp(-0.0033683181339366*x_1)) + 31.823443132927195),(5.69834576426302*arctan(-0.18507251881927106 + 68.90000087522752/(15.191606521886957*sqrt(x_0 - 0.018882066006500939*x_1 + 0.015972792356493904*(43.781824813022072 - 59.36118885187845*x_1)*(-0.3705307675003687*x_1 + 38263.156251146663*(-1 - 0.36557048356313991/(0.032711753891180827*x_0 - 0.068875288982426546))**3 + 26.629873707431815) - 0.21668628203461244) + 5.249999997110438)) - 3.432346270662314e-5)*(3.0041669126475976e-6*tan(83.723518918508573*x_1 - 4.2747006535034668) + 0.012535686918225751),0.317*sin(-0.16914076579377799*x_1 + (0.10837351583389293*x_0 + 0.14280497359195988)*(-3.8597734339166922*(0.0010842990908190338*x_0 - 0.00068723378897067899*x_1 + 0.00020776059646000705*Abs(675.5966445824368*(x_1 - 0.2605273265710048)**2 + 9.83) - 1)**2 - 0.00896) + 0.036507569304203217) + 0.137,(1.7100422195251564e-6*x_1 + 0.0025653374076641409)*(-0.197542434906815*arctan(-6.4402242762978975*x_0 + 7.5156120598877519 - 9.170758345929308/(149.41615904997218*x_1 - 39.24997143564951)) + cos(1.1858877601823969*x_0 + 6.955142197348043*cos(91.56482481601263*x_0 - 103.62197243201288) - 56.325849795942446) - 43.588128987090905),4.324045868905016e-9*tan(0.93735840371912354*x_1 + 8.97259895101085*sin(23.984743945989404*x_0 - 25.784223503526492) - 0.012330020262257203) - 0.13987578029566028
,,,,,,,,,,,
