bacres_all_len100_snrinf_init0_obsxy,bacres_all_len100_snr30_init0_obsxy
12.484864473342896,17.795013904571533
0.21387356213157344,
0.8400669308169996*(0.03951635028682724*x_0 + 0.03450190344652977*(0.93150133750629448 - 0.0158337713316539*x_1)*(3.88719086192104*x_1 - 155.03257835779529) - 1)**2 - 0.8,(122.17357809222476*cos(6.580081388083196e-6*x_1 - 0.0002637647518274418) - 1.1582121197166268e-5*cos(7.8793282964069326*x_1 - 282.73328169132829) - 122.17427324204705)*(0.5643642728223508*x_0 + 0.06010857663496586*x_1 - 34.12650013229411*cos(7.501885392068331*sin(2545.741856474241*(-0.0030425833258254173*(0.071517627048143358*x_0 - 1)**2 + 0.00077396077185851448*tan(582.36386155794652*sqrt(1 - 0.028713040188153998*x_0) + 1.6659223398273244) - 1)**2 + 16.57555101185048) - 94.14849426348133) - 257.6318721652882)
0.4077404228990575*x_0 - (10.910150607316309 - 0.4163304598983354*x_0)*(0.0268382424071534*x_1 - 1.0653947670731692) - 1.370271296298778,1.3727957450345623e-7*tan(3.001363249475921*x_0 + 0.1992333291056273*x_1 - 41.80066908242685) + 4.5224102902641682 - 0.31926269648017913/(-0.0078912129623987542*x_0 + 0.0043989641650517145*cos(0.03120000014377345 + 0.0036900000191838625/(7.507181047659123 - 0.0005135714883005316*x_0)) - 216.98966369641926)
,
